Project,Company,"Communication, Signal Processing, Networks and Systems",Electronics and Integrated Circuits,Energy Systems and Renewable Energy,"Fields, Waves and Electromagnetic Systems", Nanoelectronics and Nanotechnology,Computer Architecture and Embedded Systems,Data Science and Information Processing,Software Engineering and Design,internet of things (IOT), internet / connectivity,"battery chargers, power",Rust programming,C programming,computer-aided design (CAD),machine learning principles,robotics,mechatronics," FreeRTOS, IWi-SUN, CoAP, and IPv6 multicast",algorithm design,system modeling,dynamics,UX flow,system modeling,control systems,hardware interfacing,FPGA,image processing,RF signal processing,sensor characterization,design of experiment,navigation algorithm,blockchain,5G Networks,Hardware,Software,Non-Disclosure Agreement?,Intellectual Property Waiver?
I1,Comp1,1,5,1,2,1,3,1,1,2,3,1,4,5,1,4,1,1,3,5,2,1,4,3,3,5,4,4,5,5,2,4,5,3,2,5,0,1
I2,Comp2,4,5,2,3,1,5,5,5,5,1,2,5,4,2,5,3,5,4,5,3,2,4,5,2,3,4,3,1,5,3,2,3,4,4,4,0,0
I3,Comp3,3,5,5,4,1,2,5,2,4,4,3,5,4,5,2,5,2,3,4,2,3,5,5,3,4,5,4,4,5,1,4,4,5,3,4,0,0
I4,Comp4,3,1,2,4,2,1,1,4,4,4,5,5,2,4,4,3,2,5,2,5,3,1,5,4,4,3,2,5,2,1,5,3,4,5,2,1,0
I5,Comp2,3,5,4,2,2,5,4,2,3,2,1,5,5,5,5,1,3,5,5,2,2,3,1,3,3,2,5,2,4,2,4,1,1,2,5,1,0
I6,Comp5,3,2,1,2,2,3,3,5,4,3,1,2,1,3,4,1,4,1,2,3,2,3,1,1,2,1,2,1,1,1,1,5,5,2,3,1,0
I7,Comp3,4,4,4,1,2,3,1,5,2,4,4,5,5,1,5,1,4,1,2,3,5,3,1,2,3,1,4,3,4,5,1,1,2,2,2,1,1
I8,Comp6,4,1,1,3,1,2,4,3,4,2,1,4,1,5,5,2,4,5,3,5,5,4,5,4,4,3,2,3,5,2,3,5,4,2,2,1,1
I9,Comp2,2,1,3,2,2,3,5,1,2,5,1,3,1,3,2,5,1,4,4,5,2,3,2,1,3,2,3,5,4,4,2,2,2,1,5,1,1
I10,Comp7,3,4,3,5,5,5,2,5,3,2,5,2,4,2,1,4,1,4,5,1,2,1,2,3,3,1,2,2,4,4,5,5,3,5,4,0,0
I11,Comp8,4,5,4,4,1,4,3,5,4,4,2,1,2,1,5,4,1,4,1,3,1,4,5,2,2,2,1,5,5,2,2,5,3,4,1,0,1
I12,Comp7,3,1,1,5,3,5,1,3,3,5,4,5,3,1,5,2,2,5,3,3,4,5,2,5,1,2,2,4,1,1,2,3,3,4,3,0,0
I13,Comp3,3,2,1,2,3,1,5,1,5,2,3,3,4,3,5,1,5,3,1,1,4,3,4,1,4,5,1,4,2,3,2,4,5,5,4,1,1
I14,Comp1,5,3,1,4,2,4,5,5,3,1,2,4,1,2,3,1,4,1,4,3,3,2,1,2,5,3,1,3,5,4,5,4,1,3,2,1,0
I15,Comp9,1,3,2,4,3,1,2,3,1,2,2,2,1,1,4,2,1,3,4,5,5,3,4,5,2,2,4,3,1,3,4,1,2,2,1,1,1
I16,Comp3,4,5,1,3,2,5,5,4,1,2,2,2,3,3,1,3,5,2,5,5,3,2,4,2,3,2,2,5,3,1,4,4,3,4,1,0,1
I17,Comp2,2,3,1,3,3,3,2,1,1,2,3,2,5,3,4,4,2,5,2,5,2,2,4,1,4,5,1,4,5,1,1,3,4,1,3,1,0
I18,Comp4,5,2,1,4,5,1,1,1,3,2,5,1,5,5,1,3,1,5,4,4,5,5,1,5,5,1,2,5,2,5,1,4,3,1,2,0,1
I19,Comp8,3,1,1,3,4,1,3,2,2,5,3,1,5,5,5,3,3,2,1,1,2,4,2,2,4,5,3,5,5,2,2,4,4,4,1,1,1
I20,Comp3,3,2,3,2,5,3,3,5,2,2,3,4,4,5,4,1,4,5,4,5,5,3,3,3,5,3,4,4,3,5,5,2,1,5,2,1,0
FH8,Comp1,5,4,5,2,4,4,3,1,4,4,5,3,2,3,3,3,1,1,2,5,4,1,5,1,3,3,4,4,2,5,2,5,3,5,4,0,0
FH11,Comp3,2,1,3,3,4,5,3,1,3,1,2,4,4,2,5,2,1,1,4,3,3,1,2,3,2,3,1,4,3,5,5,4,5,3,2,1,0
FH13,Comp2,5,1,5,5,1,1,5,1,2,1,2,2,5,5,5,5,2,3,5,5,1,1,5,1,1,1,3,3,4,1,5,3,4,4,4,1,1
FH14,Comp4,4,4,2,2,3,3,1,4,2,4,1,3,4,5,3,4,3,5,4,4,2,5,1,1,5,5,4,2,1,2,4,1,5,2,1,0,0
FH18,Comp5,4,5,2,1,4,3,3,3,1,3,2,3,1,4,1,2,1,4,5,2,5,2,3,5,2,1,1,2,2,4,5,1,1,1,4,1,1
IH3,Comp3,4,2,5,1,2,5,3,2,2,1,4,1,2,2,3,1,5,4,1,2,5,1,4,2,4,5,3,5,1,5,4,4,3,1,3,1,0
